Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
0 	146.114013	0.000000	61.271818	-301.699735	0.000000	-0.049962	-9.499835	-96.818601	-139.223430	-52.682783	0.000000	-1166.296061	0.000000	0.000000	0.000000	-5.555987	-1564.440564
1000 	135.883613	0.000000	23.476055	-356.520424	0.000000	-0.000040	-8.549843	-98.349613	-141.353927	-45.253447	0.000000	-944.629143	0.000000	0.000000	0.000000	-5.679188	-1440.975958
2000 	135.003661	0.000000	27.986026	-355.885616	0.000000	-0.004655	-7.482126	-97.461152	-141.058979	-38.646041	0.000000	-920.976360	0.000000	0.000000	0.000000	-5.467587	-1403.992828
3000 	115.912374	0.000000	24.404058	-345.832804	0.000000	-0.000011	-8.840230	-97.567904	-139.976332	-38.485295	0.000000	-895.056388	0.000000	0.000000	0.000000	-5.167543	-1390.610075
4000 	130.382329	0.000000	23.369431	-349.435934	0.000000	-0.001438	-8.352120	-101.469342	-140.413050	-41.159819	0.000000	-927.653440	0.000000	0.000000	0.000000	-5.849279	-1420.582661
5000 	135.378193	0.000000	28.746051	-349.348212	0.000000	-0.002371	-9.601569	-105.601431	-140.116310	-41.194782	0.000000	-899.251312	0.000000	0.000000	0.000000	-5.459114	-1386.450857
6000 	130.755266	0.000000	30.433214	-349.543067	0.000000	-0.000063	-8.931434	-105.910890	-139.703714	-41.029424	0.000000	-890.338514	0.000000	0.000000	0.000000	-5.784597	-1380.053223
7000 	133.683630	0.000000	27.273152	-345.244367	0.000000	-0.003064	-8.349610	-99.985841	-140.084132	-39.308420	0.000000	-911.070803	0.000000	0.000000	0.000000	-5.598107	-1388.687561
8000 	124.357422	0.000000	32.307099	-345.475940	0.000000	-0.000006	-8.919160	-104.210517	-141.120769	-37.538870	0.000000	-892.626142	0.000000	0.000000	0.000000	-5.500886	-1378.727769
9000 	138.412419	0.000000	29.295140	-346.206008	0.000000	-0.005269	-9.252293	-105.773753	-139.654852	-40.481373	0.000000	-879.409636	0.000000	0.000000	0.000000	-5.880491	-1358.956116
10000 	135.837504	0.000000	31.680733	-346.027020	0.000000	-0.000050	-8.237108	-100.857033	-140.733197	-41.559036	0.000000	-885.007761	0.000000	0.000000	0.000000	-6.144093	-1361.047060
