Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
0 	13.200136	0.000000	5.457385	-102.935393	0.000000	-4.545808	-9.212771	-19.437970	-49.811615	-6.232981	0.000000	-357.646061	0.000000	0.000000	0.000000	-4.357482	-535.522561
1000 	42.306336	0.000000	9.728119	-115.261429	0.000000	-6.244773	-9.103008	-25.556435	-49.828248	-4.371188	0.000000	-305.248403	0.000000	0.000000	0.000000	-4.521986	-468.101016
2000 	35.436885	0.000000	4.777773	-110.844781	0.000000	-6.149157	-9.166869	-24.064179	-49.852335	-5.833201	0.000000	-298.419367	0.000000	0.000000	0.000000	-4.412263	-468.527495
3000 	39.891448	0.000000	10.344043	-111.262497	0.000000	-6.362175	-9.475062	-25.621473	-50.031304	-4.856874	0.000000	-280.421390	0.000000	0.000000	0.000000	-4.393647	-442.188929
4000 	35.320703	0.000000	11.430472	-112.020593	0.000000	-6.186411	-9.284449	-21.885345	-50.170942	-4.444759	0.000000	-287.581266	0.000000	0.000000	0.000000	-4.474040	-449.296631
5000 	38.705218	0.000000	9.674872	-111.064102	0.000000	-6.739829	-9.485230	-24.014408	-49.555157	-6.639894	0.000000	-283.930366	0.000000	0.000000	0.000000	-4.568531	-447.617426
6000 	37.460748	0.000000	8.751634	-114.496687	0.000000	-6.638687	-9.383351	-22.570292	-49.667972	-5.231844	0.000000	-284.671583	0.000000	0.000000	0.000000	-4.560977	-451.009011
7000 	40.240935	0.000000	12.805565	-108.092991	0.000000	-5.825663	-9.298540	-22.804397	-49.799272	-5.403058	0.000000	-281.136450	0.000000	0.000000	0.000000	-4.462856	-433.776728
8000 	41.989070	0.000000	7.069144	-111.097365	0.000000	-7.178782	-9.349103	-24.706799	-49.801898	-4.196270	0.000000	-293.139655	0.000000	0.000000	0.000000	-4.481261	-454.892920
9000 	40.799257	0.000000	9.414446	-111.972155	0.000000	-5.357404	-9.338948	-20.851155	-49.169430	-4.156985	0.000000	-276.759891	0.000000	0.000000	0.000000	-4.725704	-432.117969
10000 	49.185793	0.000000	12.073425	-113.534322	0.000000	-7.306607	-9.265888	-24.064857	-50.282859	-4.475549	0.000000	-282.603187	0.000000	0.000000	0.000000	-4.542360	-434.816411
